dataset,file,param,instance,status,status_detail,return_code,timed_out,wall_time_seconds,reported_makespan,computed_makespan,exact_reference_makespan,best_known_makespan,heuristic_makespan,upper_bound,lower_bound,gap_to_best_known_pct,gap_to_lower_bound_pct,quality_vs_best_known_pct,quality_vs_exact_reference_pct,matched_exact_reference,matched_best_known,precedence_ok,resources_ok,stdout_line_count
j30,datasets/psplib/j30/instances/j301_1.sm,1,1,ok,,0,False,1.132436,49,49,43,43,43,,,13.953488,,87.755102,87.755102,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_2.sm,1,2,ok,,0,False,0.007916,48,48,47,47,47,,,2.12766,,97.916667,97.916667,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_3.sm,1,3,ok,,0,False,0.008968,51,51,47,47,47,,,8.510638,,92.156863,92.156863,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_4.sm,1,4,ok,,0,False,0.007942,65,65,62,62,62,,,4.83871,,95.384615,95.384615,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_5.sm,1,5,ok,,0,False,0.00761,48,48,39,39,39,,,23.076923,,81.25,81.25,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_6.sm,1,6,ok,,0,False,0.006515,53,53,48,48,48,,,10.416667,,90.566038,90.566038,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_7.sm,1,7,ok,,0,False,0.005953,60,60,60,60,60,,,0.0,,100.0,100.0,True,True,True,True,30
j30,datasets/psplib/j30/instances/j301_8.sm,1,8,ok,,0,False,0.008098,56,56,53,53,53,,,5.660377,,94.642857,94.642857,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_9.sm,1,9,ok,,0,False,0.007518,58,58,49,49,49,,,18.367347,,84.482759,84.482759,False,False,True,True,30
j30,datasets/psplib/j30/instances/j301_10.sm,1,10,ok,,0,False,0.007427,47,47,45,45,45,,,4.444444,,95.744681,95.744681,False,False,True,True,30
j30,datasets/psplib/j30/instances/j302_1.sm,2,1,ok,,0,False,0.008263,44,44,38,38,38,,,15.789474,,86.363636,86.363636,False,False,True,True,30
j30,datasets/psplib/j30/instances/j302_2.sm,2,2,ok,,0,False,0.007844,53,53,51,51,51,,,3.921569,,96.226415,96.226415,False,False,True,True,30
j30,datasets/psplib/j30/instances/j302_3.sm,2,3,ok,,0,False,0.008335,44,44,43,43,43,,,2.325581,,97.727273,97.727273,False,False,True,True,30
j30,datasets/psplib/j30/instances/j302_4.sm,2,4,ok,,0,False,0.00621,45,45,43,43,43,,,4.651163,,95.555556,95.555556,False,False,True,True,30
j30,datasets/psplib/j30/instances/j302_5.sm,2,5,ok,,0,False,0.005593,51,51,51,51,51,,,0.0,,100.0,100.0,True,True,True,True,30
j30,datasets/psplib/j30/instances/j302_6.sm,2,6,ok,,0,False,0.008576,47,47,47,47,47,,,0.0,,100.0,100.0,True,True,True,True,30
j30,datasets/psplib/j30/instances/j302_7.sm,2,7,ok,,0,False,0.008044,47,47,47,47,47,,,0.0,,100.0,100.0,True,True,True,True,30
